ID,Length (ft),B,H,MIN FX,MAX FX,MIN FY,MAX FY,MIN FZ,MAX FZ,MIN MX,MAX MX,MIN MY,MAX MY,MIN MZ,MAX MZ,AREA TOP,AREA BOTTOM,STIRRUP SPACING,BAR TYPE TOP,BAR COUNT TOP,BAR TYPE BOTTOM,BAR COUNT BOTTOM,EFFICIENCY MIN MY,EFFICIENCY MAX MY
56,67.0,16.0,32.0,-2.03,1.8,-0.59,0.57,-27.34,28.53,-30.5,30.1,-187.16,121.39,-0.6,0.73,2.356194490192345,1.7671458676442586,0.718240803013638,8,3,6,4,0.626005269546775,0.534597058017778
57,30.0,16.0,32.0,-1.06,0.5,-0.49,0.63,-35.63,30.69,-22.15,23.54,-205.9,156.27,-0.5,0.63,2.405281875404685,2.0,0.227807432713558,7,4,9,2,0.675203897122681,0.611610317580738
58,27.0,16.0,32.0,-0.78,0.54,-0.55,0.61,-30.12,33.33,-19.7,17.81,-181.64,132.06,-0.5,0.59,2.356194490192345,1.803961406553514,0.285286225323159,8,3,7,3,0.607545607557425,0.570290623724305
59,87.0,16.0,32.0,-3.64,3.1,-0.97,0.98,-44.3,45.37,-25.04,25.8,-235.21,155.72,-1.09,1.38,3.0,2.0,1.86816376217811,9,3,9,2,0.623660117666978,0.609471285788922
60,87.0,16.0,32.0,-1.35,0.58,-0.27,0.25,-33.66,35.25,-21.65,17.44,-216.7,144.86,-0.35,0.55,2.53125,2.0,0.610172762837472,10,2,9,2,0.676593472452205,0.566956785056906
61,30.0,16.0,32.0,-4.44,0.55,-1.08,1.18,-38.47,34.33,-23.38,24.09,-238.6,169.28,-1.69,0.79,3.0,2.356194490192345,0.459032621323068,9,3,8,3,0.632580198296155,0.566292798687389
62,67.0,16.0,32.0,-5.0,-0.62,-0.25,0.18,-41.88,42.23,-14.98,15.09,-279.68,177.8,-0.41,0.38,3.0,2.356194490192345,1.54235353753305,9,3,8,3,0.741492162026272,0.594794775558942
63,67.0,16.0,32.0,-4.93,2.21,-0.5,0.81,-41.01,42.79,-29.16,36.67,-251.72,174.61,-1.66,0.9,3.0,2.356194490192345,1.60396330661418,9,3,8,3,0.667364155553680,0.584123260744358
64,32.0,16.0,32.0,-7.06,-1.3,-0.17,0.12,-40.11,41.98,-13.83,12.98,-230.5,189.63,-0.31,0.25,3.0,2.356194490192345,1.51431848237306,9,3,8,3,0.611105346635640,0.634369703539045
65,67.0,16.0,32.0,-4.71,2.35,-0.78,0.45,-40.86,39.2,-32.85,24.2,-240.76,165.61,-1.56,0.91,3.0,2.356194490192345,1.17847168086788,9,3,8,3,0.638306825405625,0.554015538696943
66,67.0,16.0,32.0,-4.42,-0.65,-0.2,0.22,-40.1,39.26,-14.33,14.68,-263.29,162.38,-0.44,0.42,3.0,2.356194490192345,1.18622236092768,9,3,8,3,0.698038727616909,0.543210211784370
67,67.0,16.0,32.0,-5.23,-0.31,-0.98,0.99,-29.64,27.74,-33.02,32.53,-203.83,121.75,-1.5,0.63,2.405281875404685,1.7671458676442586,0.916687458903357,7,4,6,4,0.668394009823669,0.536179071005586
68,87.0,16.0,32.0,-4.43,0.97,-0.8,0.8,-39.62,38.18,-21.88,17.61,-255.48,178.14,-0.9,1.54,3.0,2.356194490192345,1.04298297249924,9,3,8,3,0.677332728670166,0.595932178391844
69,87.0,16.0,32.0,-4.72,3.93,-1.42,1.59,-47.46,47.96,-27.19,27.85,-261.24,163.88,-2.51,1.3,3.0,2.356194490192345,2.10479753732321,9,3,8,3,0.692603734295421,0.548228165458939
70,27.0,16.0,32.0,-3.7,1.14,-1.1,1.01,-34.62,38.28,-19.12,19.96,-224.82,179.08,-1.63,0.74,3.0,2.356194490192345,1.05658542032447,9,3,8,3,0.596046438310735,0.599076762694574
71,67.0,16.0,32.0,1.26,12.78,-0.11,0.19,-59.24,64.43,-12.92,13.14,-416.06,265.39,-0.27,0.37,4.6875,3.0,2.46846388464975,11,3,9,3,0.716972131491508,0.703514355142338
72,67.0,16.0,32.0,1.11,14.7,-0.24,0.11,-60.6,66.74,-13.75,11.53,-429.96,279.73,-0.34,0.43,4.6875,3.0,2.38302559316727,11,3,9,3,0.740925197462117,0.741527829096674
73,67.0,16.0,32.0,0.39,24.56,-1.09,1.2,-62.84,68.2,-13.14,12.23,-441.12,291.59,-1.79,2.01,4.6875,3.125,2.33201067577688,11,3,11,2,0.759964126971509,0.743026919396534
74,67.0,16.0,32.0,1.09,13.95,-0.21,0.03,-58.34,64.11,-13.34,15.15,-412.12,265.15,-0.28,0.38,4.6875,3.0,2.48078502710939,11,3,9,3,0.710182557396241,0.702878146373228
75,67.0,16.0,32.0,1.35,11.67,-0.19,0.11,-55.55,61.15,-11.84,12.02,-392.12,246.09,-0.38,0.26,4.0,3.0,2.60086881582965,9,4,9,3,0.787346728364585,0.652329551367423
76,67.0,16.0,32.0,1.1,9.57,-0.83,0.7,-33.69,38.03,-36.56,36.74,-253.03,159.84,-1.84,1.04,3.0,2.356194490192345,1.02244517197005,9,3,8,3,0.670837248846924,0.534713143562099
77,87.0,16.0,32.0,-2.12,4.62,-1.76,1.63,-37.37,36.74,-27.94,23.25,-228.9,171.76,-3.28,1.95,3.0,2.356194490192345,0.838897384050650,9,3,8,3,0.606863400628624,0.574589148762677
78,87.0,16.0,32.0,-0.82,5.38,-0.63,0.6,-45.95,46.78,-6.48,4.67,-229.49,140.87,-1.08,0.81,3.0,2.0,2.00023706477172,9,3,9,2,0.608493518147165,0.551349987343215
79,87.0,16.0,32.0,-7.26,13.57,-3.83,3.84,-32.79,32.53,-29.57,31.92,-182.44,153.87,-4.26,7.45,2.356194490192345,2.0,0.138597906241037,8,3,9,2,0.610239243466832,0.602215894497889
80,87.0,16.0,32.0,-2.96,2.03,-1.02,0.74,-27.69,29.03,-26.0,30.97,-166.17,99.51,-1.95,1.12,2.356194490192345,1.5707963267948966,0.598222876678578,8,3,8,2,0.555781773982327,0.490028409473191
81,67.0,16.0,32.0,-2.42,0.02,-0.39,0.39,-37.24,33.91,-31.7,32.54,-249.37,151.92,-0.84,0.51,3.0,2.0,0.387307280743761,9,3,9,2,0.661205405988751,0.594598495614263
82,67.0,16.0,32.0,-2.7,-0.04,-0.1,0.07,-60.29,65.22,-9.1,9.79,-423.39,253.47,-0.19,0.16,4.6875,3.0,2.43856375479888,11,3,9,3,0.729603496496153,0.671915986276531
83,67.0,16.0,32.0,-3.56,-0.09,-0.15,0.1,-61.0,65.42,-10.14,9.02,-429.2,258.03,-0.22,0.27,4.6875,3.0,2.43110865313334,11,3,9,3,0.739615533423437,0.684003952889625
84,67.0,16.0,32.0,-6.51,-0.03,-0.24,0.28,-62.74,66.09,-10.19,9.39,-431.99,258.15,-0.41,0.48,4.6875,3.0,2.40646282475387,11,3,9,3,0.744423379039120,0.684322057274180
85,67.0,16.0,32.0,-3.28,-0.08,-0.06,0.12,-58.14,62.93,-10.9,10.4,-411.19,244.43,-0.21,0.16,4.6875,3.0,2.52730221020155,11,3,9,3,0.708579942191013,0.647952122640046
86,67.0,16.0,32.0,-2.4,-0.08,-0.09,0.12,-55.67,60.79,-8.79,8.53,-395.52,233.48,-0.15,0.22,4.0,3.0,2.61627123026786,9,4,9,3,0.794173666231665,0.618903261624877
87,87.0,16.0,32.0,-3.25,1.19,-0.37,0.46,-30.99,29.85,-26.96,22.97,-171.89,120.99,-0.48,0.9,2.356194490192345,1.7671458676442586,0.410097491121578,8,3,6,4,0.574930785330173,0.532835472852549
88,87.0,16.0,32.0,-2.94,0.42,-0.15,0.14,-37.2,39.3,-6.77,5.51,-174.46,93.01,-0.19,0.26,2.356194490192345,1.5707963267948966,1.19137633307941,8,3,8,2,0.583508986513551,0.458019720280389
89,67.0,16.0,32.0,1.04,8.42,-0.09,0.04,-60.17,66.55,-6.88,7.06,-441.46,252.14,-0.15,0.14,4.6875,3.0,2.38982912228375,11,3,9,3,0.760742482257946,0.668390329347711
90,67.0,16.0,32.0,1.04,8.67,-0.06,0.06,-60.47,65.95,-7.21,6.79,-442.56,256.21,-0.1,0.12,4.6875,3.0,2.41157131293379,11,3,9,3,0.762638048629721,0.679179369723872
91,67.0,16.0,32.0,1.03,8.9,-0.07,0.04,-60.93,66.39,-7.69,6.7,-443.97,256.34,-0.13,0.11,4.6875,3.0,2.39558861406813,11,3,9,3,0.765067820069905,0.679523982807140
92,67.0,16.0,32.0,1.07,8.24,-0.09,0.09,-57.8,63.5,-8.75,8.12,-423.64,243.17,-0.18,0.13,4.6875,3.0,2.50461619036194,11,3,9,3,0.730034307035193,0.644612026602217
93,67.0,16.0,32.0,1.08,7.71,-0.05,0.11,-56.44,61.85,-6.39,7.03,-409.95,232.12,-0.17,0.18,4.6875,3.0,2.57143295210967,11,3,9,3,0.706443121917376,0.615319914524434
94,67.0,16.0,32.0,1.17,6.29,-0.29,0.38,-33.54,37.08,-28.04,30.96,-253.73,148.43,-1.0,0.33,3.0,2.0,0.888513751079312,9,3,9,2,0.672765960867490,0.580939012006484
